NCIt Subset Code	NCPDP Subset Preferred Term	NCIt Code	NCPDP Preferred Term	NCPDP Synonym	NCIt Preferred Term	NCI Definition
C89507	NCPDP DEASchedule Terminology	C48672	Schedule I Substance		Schedule I Substance	A category of drugs not considered legitimate for medical use.
C89507	NCPDP DEASchedule Terminology	C48675	Schedule II Substance		Schedule II Substance	A category of drugs considered to have a strong potential for abuse or addiction but that also have legitimate medical use.
C89507	NCPDP DEASchedule Terminology	C48676	Schedule III Substance		Schedule III Substance	A category of drugs that have less potential for abuse or addiction than Schedule I or II drugs and have a useful medical purpose.
C89507	NCPDP DEASchedule Terminology	C48677	Schedule IV Substance		Schedule IV Substance	A category of medically useful drugs that have less potential for abuse or addiction than those of Schedules I, II, and III.
C89507	NCPDP DEASchedule Terminology	C48679	Schedule V Substance		Schedule V Substance	A category of medically useful drugs that have less potential for abuse or addiction than those of Schedules I through IV.
C89507	NCPDP DEASchedule Terminology	C38046	Unspecified		Unspecified	Not stated explicitly or in detail.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122629	Actuation		Actuation Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an actuation.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48473	Ampule		Ampule Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an ampule.
C121847	NCPDP DoseUnitOfMeasure Terminology	C25397	Application		Application Unit	A dosing measurement based on the application unit.
C121847	NCPDP DoseUnitOfMeasure Terminology	C62412	Applicator		Applicator Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a single applicator.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122630	Auto-Injector		Auto-Injector Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an auto-injector.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48475	Bar		Bar Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a bar.
C121847	NCPDP DoseUnitOfMeasure Terminology	C102405	Capful		Capful Dosing Unit	A dosing measurement based on the capful unit.
C121847	NCPDP DoseUnitOfMeasure Terminology	C64696	Caplet		Caplet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a caplet.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48480	Capsule		Capsule Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a capsule.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48481	Cartridge		Cartridge Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a cartridge.
C121847	NCPDP DoseUnitOfMeasure Terminology	C49668	Centimeter		Centimeter	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48490	Disk		Disk Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a disk.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122631	Dropperful		Dropperful Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a dropperful.
C121847	NCPDP DoseUnitOfMeasure Terminology	C64933	Each		Each	Used to refer to every member of a group of people or things, considered individually.
C121847	NCPDP DoseUnitOfMeasure Terminology	C53499	Film		Film Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a film.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48494	Fluid Ounce		Fluid Ounce US	A traditional unit of liquid volume equal in the US customary system to 1/16 pint, or 1.804 687 cubic inches or 29.573 531 milliliters.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48580	Gallon		Gallon US	The US unit of liquid volume legally defined as 3785.411784 milliliters (3.785 411 784 liters), or 231 cubic inches. The US gallon holds 4 liquid quarts; the gallon of water gallon weighs approximately 8.33 pounds.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48155	Gram		Gram	The metric unit of mass equal to one thousandth of a kilogram. One gram equals approximately 15.432 grains or 0.035 273 966 ounce.
C121847	NCPDP DoseUnitOfMeasure Terminology	C69124	Gum		Gum Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a gum.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48499	Implant		Implant Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an implant.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48500	Inch		Inch	A traditional unit of length equal to 1/12 of a foot or 2.54 centimeters.
C121847	NCPDP DoseUnitOfMeasure Terminology	C124231	Inch Strip		Inch Strip Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an inch ribbon of a topical substance.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48501	Inhalation		Inhalation Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an inhalation.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122632	Injection		Injection Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an injection.
C121847	NCPDP DoseUnitOfMeasure Terminology	C62276	Insert		Insert Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an insert.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48505	Liter		Liter	The non-SI unit of volume accepted for use with the SI. One liter is equal to cubic decimeter, or one thousandth of cubic meter, or 1000 cubic centimeters, or approximately 61.023 744 cubic inches.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122633	Lollipop		Lollipop Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a lollipop.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48506	Lozenge		Lozenge Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a lozenge.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48491	Metric Drop		Metric Drop	A unit of volume used in pharmacy and equal to 0.05 milliliter (20 drops/ml).
C121847	NCPDP DoseUnitOfMeasure Terminology	C48152	Microgram		Microgram	A metric unit of mass equal to one millionth of a gram or one thousandth of a milligram.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48512	Milliequivalent	mEq	Milliequivalent	A unit of relative amount of a substance equal to one thousandth of an equivalent weight.
C121847	NCPDP DoseUnitOfMeasure Terminology	C28253	Milligram		Milligram	A metric unit of mass equal to one thousandth of a gram or 1000 micrograms. One milligram equals approximately 0.015 432 grain or 35.274 x 10E-6 ounce.
C121847	NCPDP DoseUnitOfMeasure Terminology	C28254	Milliliter		Milliliter	A unit of volume equal to one millionth (10E-6) of a cubic meter, one thousandth of a liter, one cubic centimeter, or 0.061023 7 cubic inch. A cubic centimeter is the CGS unit of volume.
C121847	NCPDP DoseUnitOfMeasure Terminology	C67315	MilliUnit		Milliunit	A quantity equivalent to the one thousandth unit (10E-3 unit).
C121847	NCPDP DoseUnitOfMeasure Terminology	C71204	Nebule		Nebule Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a nebule.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48519	Ounce		Ounce	The traditional unit of mass. The avoirdupois ounce is equal to 1/16 pound, or 28.349 5 grams, or 0.911 457 troy ounce.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48520	Package		Package Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a package.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48521	Packet		Packet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a packet.
C121847	NCPDP DoseUnitOfMeasure Terminology	C65032	Pad		Pad Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a pad.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48524	Patch		Patch Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a patch.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48525	Pellet		Pellet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a pellet.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122634	Pill		Pill Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a pill.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48529	Pint		Pint	A United States liquid unit equal to 16 fluid ounces; two pints equal one quart.
C121847	NCPDP DoseUnitOfMeasure Terminology	C122635	Pre-Filled Pen Syringe		Pre-Filled Pen Syringe Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in an pre-filled pen syringe.
C121847	NCPDP DoseUnitOfMeasure Terminology	C65060	Puff		Puff Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a puff.
C121847	NCPDP DoseUnitOfMeasure Terminology	C111984	Pump		Pump Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in one actuation of a pumping device.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48534	Quart		Quart	A United States liquid unit equal to 32 fluid ounces; four quarts equal one gallon.
C121847	NCPDP DoseUnitOfMeasure Terminology	C62609	Ring		Ring Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a ring.
C121847	NCPDP DoseUnitOfMeasure Terminology	C71324	Sachet		Sachet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a sachet.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48536	Scoopful		Scoopful Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained typically in a spoon-shaped object.
C121847	NCPDP DoseUnitOfMeasure Terminology	C53502	Sponge		Sponge Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a sponge.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48537	Spray		Spray Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a spray.
C121847	NCPDP DoseUnitOfMeasure Terminology	C53503	Stick		Stick Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a stick.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48538	Strip		Strip Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a strip.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48539	Suppository		Suppository Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a suppository.
C121847	NCPDP DoseUnitOfMeasure Terminology	C53504	Swab		Swab Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a swab.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48540	Syringe		Syringe Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a single syringe.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48542	Tablet		Tablet Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a tablet.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48548	Troche		Troche Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a troche.
C121847	NCPDP DoseUnitOfMeasure Terminology	C44278	Unit		Unit	A single undivided thing occurring in the composition of something else.
C121847	NCPDP DoseUnitOfMeasure Terminology	C38046	Unspecified		Unspecified	Not stated explicitly or in detail.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48551	Vial		Vial Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a single vial.
C121847	NCPDP DoseUnitOfMeasure Terminology	C48552	Wafer		Wafer Dosing Unit	A dosing unit equal to the amount of active ingredient(s) contained in a wafer.
C91101	NCPDP MeasurementUnitCode Terminology	C37907	Age-Months		Age-Months	The length of a person's life, stated in months since birth.
C91101	NCPDP MeasurementUnitCode Terminology	C37908	Age-Years		Age-Years	The length of a person's life, stated in years since birth.
C91101	NCPDP MeasurementUnitCode Terminology	C49673	Beats per Minute		Beats per Minute	The number of heartbeats measured per minute time.
C91101	NCPDP MeasurementUnitCode Terminology	C16358	Body Mass Index		Body Mass Index	An individual's weight in kilograms divided by the square of the height in meters.
C91101	NCPDP MeasurementUnitCode Terminology	C25157	Body Surface Area		Body Surface Area	A measure of the 2-dimensional extent of the body surface (i.e., the skin).  Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight.  BSA is often an important factor in dosing.
C91101	NCPDP MeasurementUnitCode Terminology	C81328	Body Weight		Body Weight	The weight of a subject.
C91101	NCPDP MeasurementUnitCode Terminology	C49674	Breaths per Minute		Breaths per Minute	The number of breaths (inhalation and exhalation) taken per minute time.
C91101	NCPDP MeasurementUnitCode Terminology	C49668	Centimeter		Centimeter	A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.
C91101	NCPDP MeasurementUnitCode Terminology	C25301	Day		Day	The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.
C91101	NCPDP MeasurementUnitCode Terminology	C42559	Degree Celsius		Degree Celsius	A unit of temperature of the temperature scale designed so that the freezing point of water is 0 degrees and the boiling point is 100 degrees at standard atmospheric pressure. The current official definition of the Celsius sets 0.01 C to be at the triple point of water and a degree to be 1/273.16 of the difference in temperature between the triple point of water and absolute zero. One degree Celsius represents the same temperature difference as one Kelvin.
